6.064 0.434 5.768
3.222 1.087 5.538
3.747 1.719 5.299
3.598 1.650 5.326
3.919 2.014 5.188
3.590 2.473 5.015
4.929 0.592 5.725
3.348 1.530 5.371
5.437 0.644 5.705
5.755 0.480 5.767
3.630 2.033 5.181
3.331 2.013 5.188
3.832 1.454 5.399
5.670 0.525 5.750
5.241 0.799 5.647
5.116 1.111 5.529
3.782 0.752 5.664
5.649 0.909 5.605
3.776 0.740 5.669
5.236 1.035 5.558
4.337 1.375 5.430
4.048 1.395 5.422
4.582 1.597 5.346
3.832 1.108 5.530
4.695 1.596 5.346
4.092 0.896 5.610
5.284 1.278 5.466
3.647 2.451 5.023
3.293 1.457 5.399
3.660 1.048 5.553
5.081 1.046 5.554
3.169 2.622 4.959
4.415 0.869 5.620
4.002 1.153 5.513
3.378 1.341 5.442
2.888 2.266 5.093
4.445 0.799 5.647
4.127 2.115 5.150
3.017 3.033 4.804
3.455 2.163 5.132
4.900 2.747 4.911
4.496 2.423 5.034
4.737 2.833 4.879
6.259 2.710 4.925
5.972 2.718 4.922
6.139 1.996 5.195
6.260 1.491 5.386
6.480 2.683 4.936
4.924 2.111 5.151
5.969 2.729 4.918
5.581 1.231 5.484
5.859 1.948 5.213
5.202 1.695 5.309
3.905 2.421 5.035
5.766 2.146 5.138
5.923 1.816 5.263
6.275 2.711 4.925
5.064 2.884 4.860
6.039 0.896 5.610
5.463 1.918 5.224
6.031 2.387 5.047
6.357 3.011 4.812
6.139 1.583 5.351
3.922 3.042 4.800
6.305 2.994 4.818
6.509 3.162 4.755
6.049 2.193 5.120
5.450 2.808 4.888
6.315 2.491 5.008
6.257 2.179 5.126
5.783 1.242 5.479
5.968 2.338 5.066
5.961 2.244 5.101
5.948 1.011 5.567
6.490 2.777 4.900
6.331 1.781 5.276
5.014 2.408 5.039
6.386 2.117 5.149
5.346 2.446 5.025
4.994 3.195 4.739
3.338 3.140 4.736
3.965 2.302 5.052
4.473 1.790 5.246
3.718 2.044 5.150
4.199 3.023 4.780
3.342 1.889 5.208
3.487 1.834 5.229
5.144 3.114 4.746
5.118 2.901 4.826
4.681 2.544 4.961
3.740 2.592 4.943
5.080 2.986 4.794
3.343 1.609 5.314
3.983 1.719 5.272
3.329 1.558 5.333
5.740 2.628 4.929
3.654 2.944 4.810
3.684 2.776 4.873
3.358 2.484 4.983
3.097 3.070 4.762
5.508 2.651 4.921
3.891 1.439 5.378
3.960 2.865 4.840
4.797 2.076 5.138
2.999 2.926 4.817
5.442 2.771 4.875
3.645 2.239 5.076
4.002 2.062 5.143
2.962 1.709 5.276
6.111 2.904 4.825
4.617 1.768 5.254
4.546 2.614 4.934
4.994 2.075 5.138
3.080 2.264 5.067
3.719 3.119 4.744
4.579 2.880 4.834
4.528 2.955 4.806
3.448 2.969 4.801
3.001 2.638 4.925
6.140 2.821 4.856
4.812 0.893 5.584
6.350 3.046 4.771
4.261 0.543 5.716
4.044 1.011 5.540
5.718 1.066 5.519
4.226 1.355 5.410
6.047 2.675 4.912
5.239 1.603 5.316
5.758 2.526 4.968
4.670 1.219 5.461
6.168 0.798 5.620
5.536 1.517 5.349
4.699 1.627 5.307
4.375 0.513 5.728
5.049 1.394 5.395
4.470 1.464 5.369
4.339 1.023 5.535
4.297 1.433 5.380
5.452 1.220 5.461
4.587 1.447 5.375
5.798 2.152 5.109
5.567 1.185 5.474
5.460 0.944 5.565
5.985 1.497 5.356
4.293 1.460 5.370
5.955 0.630 5.684
2.917 0.494 5.735
6.074 2.001 5.166
3.569 0.690 5.661
5.140 1.843 5.226
6.070 2.591 4.943
6.126 2.344 5.036
5.806 0.948 5.563
5.910 2.312 5.048
4.827 1.630 5.306
5.699 1.789 5.246
3.116 0.546 5.715
5.161 1.304 5.429
3.869 1.960 4.249
3.066 2.964 4.633
4.070 2.049 4.283
3.444 1.780 4.180
3.600 1.016 3.888
5.451 0.967 3.870
4.342 0.637 3.743
3.554 2.560 4.478
3.516 1.285 3.991
3.320 1.831 4.200
3.833 1.741 4.165
3.158 0.931 3.856
3.370 2.117 4.309
3.155 1.536 4.087
2.996 0.647 3.747
4.713 1.535 4.087
5.011 1.254 3.979
3.444 1.261 3.982
5.667 0.537 3.705
2.955 1.225 3.968
3.229 2.267 4.367
4.117 2.181 4.333
3.156 1.860 4.211
5.182 1.304 3.998
3.991 1.653 4.132
4.084 1.992 4.261
4.892 1.257 3.980
4.527 1.716 4.156
3.541 0.868 3.832
2.827 2.221 4.349
4.534 1.663 4.136
4.272 0.650 3.748
3.359 1.875 4.217
5.447 0.585 3.723
4.484 1.282 3.990
2.918 2.928 4.619
2.949 2.002 4.265
4.184 1.697 4.149
4.984 1.189 3.954
3.613 2.773 4.560
6.349 1.726 4.159
5.087 2.042 4.280
4.474 3.183 4.717
6.340 2.921 4.616
6.478 0.600 3.729
6.353 1.094 3.918
6.078 2.958 4.631
6.377 2.716 4.538
6.247 3.110 4.689
3.798 3.029 4.658
6.004 2.171 4.330
5.568 2.135 4.316
5.902 1.796 4.187
5.247 2.548 4.474
6.438 1.670 4.138
4.114 2.590 4.490
6.370 0.889 3.840
3.729 2.945 4.626
3.842 2.945 4.626
5.310 1.483 4.067
